name;company;technology;job;location;salary_low;salary_high;salary_currency;salary_avg;is_senior
senior azure data engineer;SoftwareOne;;data engineer;Zdalnie;14000;26000;PLN;20000.0;1
data engineer with gcp;GFT Poland;;data engineer;Poznań;20160;33600;PLN;26880.0;0
mid data engineer with java / c#;Antal Sp. z.o.o.;;data engineer;Kraków;22000;25000;PLN;23500.0;0
mid data engineer with c++;Antal Sp. z.o.o.;;data engineer;Kraków;22000;25000;PLN;23500.0;0
big data hadoop engineer (mid);Ework Group;;data engineer;Zdalnie;16800;26880;PLN;21840.0;0
data platform engineer/consultant;Elitmind;;data engineer;Zdalnie;13944;19992;PLN;16968.0;0
data engineer;Unity Group;;data engineer;Zdalnie;18400;25200;PLN;21800.0;0
senior cloud data engineer;SEB (Skandinaviska Enskilda Banken);;data engineer;Warszawa;30000;35000;PLN;32500.0;1
senior data engineer;SEB (Skandinaviska Enskilda Banken);;data engineer;Warszawa;34000;37000;PLN;35500.0;1
data engineer;SEB (Skandinaviska Enskilda Banken);;data engineer;Warszawa;27000;33000;PLN;30000.0;0
senior software engineer for data strategy team;Sportradar;;data engineer;Wrocław;26000;29300;PLN;27650.0;1
senior data engineer with snowflake;Objectivity - part of Accenture;;data engineer;Zdalnie;21840;26040;PLN;23940.0;1
data analytics catalog engineer/analyst;MSD;;data engineer;Prague;14720;20240;PLN;17480.0;0
data analytics catalog engineer/analyst;MSD;;data engineer;Prague;14720;20240;PLN;17480.0;0
data engineer;Trans-Sped Kft;;data engineer;Budapest;12853;16358;PLN;14605.5;0
lead data engineer (aws/azure);EPAM;;data engineer;Zdalnie;22400;25400;PLN;23900.0;0
senior data engineer;Brainly Sp. z o.o.;;data engineer;Zdalnie;20000;28000;PLN;24000.0;1
senior big data engineer;Capgemini Polska Sp. z o.o.;;data engineer;Katowice;20160;23520;PLN;21840.0;1
senior data engineer;Beekeeper AG;;data engineer;Zdalnie;21666;32083;PLN;26874.5;1
business data analyst / bi engineer;NIX Tech Kft.;;data engineer;Budapest;9348;12853;PLN;11100.5;0
remote azure data engineer;YourITeams;;data engineer;Zdalnie;26000;28500;PLN;27250.0;0
data engineer azure;Zone IT Sp. z o.o.;;data engineer;Wrocław;18000;26000;PLN;22000.0;0
senior big data engineer;Devire;;data engineer;Zdalnie;25200;33600;PLN;29400.0;1
data engineer (dataiku/linkurious);Sopra Steria - Apps Services;;data engineer;Zdalnie;16000;21000;PLN;18500.0;0
remote junior data engineer with python;Addepto;;data engineer;Zdalnie;6500;12000;PLN;9250.0;0
etl developer;Devire;;data engineer;Zdalnie;20160;23520;PLN;21840.0;0
business intelligence analytics engineer i;Jamf;;data engineer;Zdalnie;10000;10800;PLN;10400.0;0
remote azure cloud architect (data);Link Group;;data engineer;Zdalnie;36960;42000;PLN;39480.0;0
data engineering architect;Lingaro;;data engineer;Zdalnie;28560;33600;PLN;31080.0;0
mid big data developer;The Stepstone Group Polska Sp. z o.o.;;data engineer;Zdalnie;12000;17000;PLN;14500.0;0
cloud data architect (gcp/azure);Elitmind;;data engineer;Zdalnie;24024;31920;PLN;27972.0;0
big data developer – energy sector;Sii Polska;;data engineer;Zdalnie;23100;37800;PLN;30450.0;0
senior data architect  - data powered sales;Digital Hub Warsaw at Bayer;;data engineer;Warszawa;19840;28760;PLN;24300.0;1
data architect;Concentrix;;data engineer;Zdalnie;35000;41000;PLN;38000.0;0
data consultant/ developer;Netcompany Poland;;data engineer;Warszawa;9000;15000;PLN;12000.0;0
data solution developer;Acxiom GSC Polska Sp. z o.o.;;data engineer;Zdalnie;9500;17000;PLN;13250.0;0
data solution architect;EPAM;;data engineer;Zdalnie;26400;31400;PLN;28900.0;0
